[13.06.2017 | 21:20:56] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   how have you found out ;D
[13.06.2017 | 21:21:13] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   ich bin selber sao fan xD
[13.06.2017 | 21:22:06] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Kirito xd
[13.06.2017 | 21:22:57] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @The Brandy [286521349025955840] :   @Lord Nightcore juat go to Zekro Githup page^^
[13.06.2017 | 21:23:00] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @The Brandy [286521349025955840] :   just xD
[13.06.2017 | 21:23:27] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   Ist hier jmd Designer ?
[13.06.2017 | 21:23:39] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   In wie fern?
[13.06.2017 | 21:23:53] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   ja bin ich ?
[13.06.2017 | 21:23:59] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   deswegen auch der bot name etc
[13.06.2017 | 21:24:00] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   Banner und PB erstellen kann ?
[13.06.2017 | 21:24:22] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   SAO is mein 1st-genannter anime wenns um favoriten geht
[13.06.2017 | 21:24:32] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   ja könnt ich machen
[13.06.2017 | 21:24:36] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   @AveronTV
[13.06.2017 | 21:24:38] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   <-- Elfenlied xD
[13.06.2017 | 21:25:03] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   what would i do without you @The Brandy
[13.06.2017 | 21:25:21] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   ich war grad iwie bei webseiten xD
[13.06.2017 | 21:25:30] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   lass mal pm schreiben wenn du willst
[13.06.2017 | 21:25:36] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   muss jz essen bb
[13.06.2017 | 21:25:43] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @The Brandy [286521349025955840] :   @Lord Nightcore you have hit by train i think xD
